decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
144,1156.40000000042,1,100,1,84,2,1,0,3,0,-21.5625,0.0019994,1,0,0,0,0,0,3,0,0,0.0019994,0,29,-1,0,0,0,1,0
145,1162.44444444487,1,100,1,84,2,0,1,2,0,-64.4285714285714,0.0030019,0,0,0,0,0,0,2,0,0,0.0030019,0,29,-1,0,0,0,1,0
146,1166.44444444487,1,100,1,83,1,0,0,0,1,0,0.0009984,0,0,0,0,0,0,0,0,0,0.0009984,0,29,-1,0,0,0,0,0
147,1172.48888888932,1,100,2,85,3,0,1,2,1,-68.3030303030303,0.0039696,0,0,0,0,0,0,2,0,0,0.0039696,0,29,-1,0,0,0,0,0
148,1172.53333333377,1,100,1,85,1,0,0,0,1,0,0.0009972,0,0,0,0,0,0,0,0,0,0.0009972,0,29,-1,0,0,0,0,0
149,1182.53333333377,1,100,2,87,4,2,0,4,0,-125.55,0.1230548,0,0,0,0,0,0,3,1,0,0.1230548,0,29,-1,0,0,0,1,0
150,1192.57777777823,1,100,1,85,2,1,0,1,0,-29.0555555555556,0.0010001,1,0,0,0,0,0,1,0,0,0.0010001,0,29,-1,0,0,0,0,0
151,1200.22222222268,1,100,1,85,2,0,1,1,0,-67.0423728813559,0.0020293,0,0,0,0,0,0,1,0,0,0.0020293,0,30,-1,0,0,0,1,0
152,1210.26666666713,1,100,1,84,2,0,1,1,0,-69.0344827586207,0.0020009,0,0,0,0,0,0,1,0,0,0.0020009,0,30,-1,0,0,0,0,0
153,1230.31111111159,1,100,1,84,2,1,0,1,0,-29.0263157894737,0.0020067,1,0,0,0,0,0,1,0,0,0.0020067,0,30,-1,0,0,0,0,0
